id,name,age,city,email,signup_date,customer_segment,monthly_spend,is_active
1,Tomáš Novák,65,Liberec,tomáš.novák.1@mail.cz,2023-04-03,standard,1841.18,True
2,Karolína Hájek,20,Praha,karolína.hájek.2@example.com,2023-03-24,standard,1263.39,True
3,Adéla Kučera,63,Jihlava,adéla.kučera.3@company.cz,2024-05-09,standard,1123.02,True
4,Jakub Procházka,62,Hradec Králové,jakub.procházka.4@sentinel.test,2023-07-24,standard,538.28,True
5,Tomáš Novotný,42,Brno,tomáš.novotný.5@sentinel.test,2023-12-06,premium,2017.82,False
6,Adéla Dvořák,80,Hradec Králové,adéla.dvořák.6@example.com,2025-02-04,premium,2073.51,True
7,Karolína Kučera,63,Brno,karolína.kučera.7@example.com,2025-09-16,standard,1932.67,True
8,Tereza Dvořák,42,Liberec,tereza.dvořák.8@demo.io,2025-07-25,premium,406.64,True
9,Anna Horák,62,Jihlava,anna.horák.9@example.com,2025-06-01,standard,1335.35,True
10,Lucie Král,42,Liberec,lucie.král.10@company.cz,2023-03-26,premium,2107.13,True
11,Tereza Svoboda,69,Olomouc,tereza.svoboda.11@demo.io,2023-07-03,free,527.46,True
12,Anna Jelínek,43,Jihlava,anna.jelínek.12@demo.io,2022-10-20,premium,349.08,True
13,Karolína Hájek,75,Zlín,karolína.hájek.13@demo.io,2024-01-12,standard,2493.31,True
14,Nikola Jelínek,23,Ústí nad Labem,nikola.jelínek.14@example.com,2022-08-13,standard,1568.62,False
15,Daniel Novotný,42,Hradec Králové,daniel.novotný.15@company.cz,2024-08-16,premium,2427.7,True
16,Tomáš Beneš,66,Liberec,tomáš.beneš.16@sentinel.test,2022-08-17,premium,1086.91,False
17,Jakub Horák,80,České Budějovice,jakub.horák.17@mail.cz,2024-11-05,free,2176.3,True
18,Nikola Kučera,27,Olomouc,nikola.kučera.18@mail.cz,2025-01-09,free,1497.36,False
19,Jakub Dvořák,77,Olomouc,jakub.dvořák.19@sentinel.test,2023-05-06,free,602.18,True
20,Jan Jelínek,70,Brno,jan.jelínek.20@company.cz,2022-09-15,standard,1649.38,True
21,Kateřina Růžička,73,Zlín,kateřina.růžička.21@demo.io,2023-03-10,standard,1782.37,False
22,Veronika Král,75,České Budějovice,veronika.král.22@demo.io,2022-09-05,standard,561.74,True
23,Jakub Beneš,32,Zlín,jakub.beneš.23@mail.cz,2022-01-15,free,1769.6,True
